Year,Return,Ticker
2000,-0.7104990949056116,AAPL
2001,0.47163912460920066,AAPL
2002,-0.3456752655538695,AAPL
2003,0.4911873840445269,AAPL
2004,2.0136858475894246,AAPL
2005,1.2326349468469395,AAPL
2006,0.18014977810650912,AAPL
2007,1.3347565513729482,AAPL
2008,-0.5691061002617275,AAPL
2009,1.4689872678425417,AAPL
2010,0.5306650265726767,AAPL
2011,0.25558154150482704,AAPL
2012,0.32588538418616864,AAPL
2013,0.08060253863339573,AAPL
2014,0.40617501016568647,AAPL
2015,-0.030179857287152556,AAPL
2016,0.12480786836778401,AAPL
2017,0.4847537868181022,AAPL
2018,-0.05391377818906051,AAPL
2019,0.8896664823832103,AAPL
2020,0.8230923844473548,AAPL
2021,0.3464783320847473,AAPL
2022,-0.264041393180783,AAPL
2023,0.4900405323550343,AAPL
2024,0.30704921107922023,AAPL
2025,-0.24691769143773634,AAPL
2000,1.3122049642150144,UNH
2001,0.15358018999950618,UNH
2002,0.18035395703989132,UNH
2003,0.39398318047435654,UNH
2004,0.5137767869921803,UNH
2005,0.41223390539495197,UNH
2006,-0.13487803096698814,UNH
2007,0.08380762096386518,UNH
2008,-0.5421568394108623,UNH
2009,0.14750472589792052,UNH
2010,0.19891932853400984,UNH
2011,0.42187886449201684,UNH
2012,0.08588250073684667,UNH
2013,0.4103276044273876,UNH
2014,0.36457713828684635,UNH
2015,0.1825794928411646,UNH
2016,0.38405433701973424,UNH
2017,0.3982421457010332,UNH
2018,0.14520762456084535,UNH
2019,0.19987067269605974,UNH
2020,0.21204773391818232,UNH
2021,0.45213110557622715,UNH
2022,0.06946838562797986,UNH
2023,0.00794727103918591,UNH
2024,-0.02412136870147208,UNH
2025,0.042474300491901484,UNH
2000,0.3957636566332219,NVDA
2001,3.0838658146964857,NVDA
2002,-0.8278896929395658,NVDA
2003,1.0147727272727276,NVDA
2004,0.015792442188381273,NVDA
2005,0.5513603553581341,NVDA
2006,1.0246957766642808,NVDA
2007,0.37882269754286724,NVDA
2008,-0.7628205128205128,NVDA
2009,1.3151351351351352,NVDA
2010,-0.17557786598178848,NVDA
2011,-0.09997167941093177,NVDA
2012,-0.10981749528005047,NVDA
2013,0.33545422410745873,NVDA
2014,0.2739544732662784,NVDA
2015,0.6708913359650945,NVDA
2016,2.2694603332504353,NVDA
2017,0.8197999467538886,NVDA
2018,-0.3081633506102659,NVDA
2019,0.769477086668882,NVDA
2020,1.223013230900555,NVDA
2021,1.254790228318217,NVDA
2022,-0.502658351583601,NVDA
2023,2.390183603728231,NVDA
2024,1.712486718191331,NVDA
2025,-0.2976532338782708,NVDA
2000,0.10248396027421336,XOM
2001,-0.07593233850676351,XOM
2002,-0.0886043188741813,XOM
2003,0.2063632921576981,XOM
2004,0.28043685082927117,XOM
2005,0.11764503119506386,XOM
2006,0.3906502727746253,XOM
2007,0.24340461393643387,XOM
2008,-0.13136579923145675,XOM
2009,-0.12601955259465436,XOM
2010,0.10140183256323909,XOM
2011,0.18714003327692375,XOM
2012,0.04721575016321555,XOM
2013,0.20136505757645096,XOM
2014,-0.060691274954772,XOM
2015,-0.12756463973400733,XOM
2016,0.19902360807992392,XOM
2017,-0.037970492518149435,XOM
2018,-0.1510169477298101,XOM
2019,0.07251715934910163,XOM
2020,-0.3621308582838747,XOM
2021,0.5764200217942381,XOM
2022,0.8735530810457972,XOM
2023,-0.06243467436024919,XOM
2024,0.11258987398852627,XOM
2025,-0.02108137014832956,XOM
2000,-0.05998632777562096,GE
2001,-0.1507051261804745,GE
2002,-0.3770696953553475,GE
2003,0.30748404506187943,GE
2004,0.2068182596486423,GE
2005,-0.014317887948362196,GE
2006,0.09352040933831818,GE
2007,0.026873430818225463,GE
2008,-0.5398042985941973,GE
2009,-0.01706227321178544,GE
2010,0.24270465322778723,GE
2011,0.012624358444212058,GE
2012,0.21246546961325952,GE
2013,0.3788650060240293,GE
2014,-0.06698635918711893,GE
2015,0.27538942189232474,GE
2016,0.04589694807708722,GE
2017,-0.4292219519639344,GE
2018,-0.5538922269234221,GE
2019,0.5384619744172472,GE
2020,-0.027245567437936824,GE
2021,0.09685640817841334,GE
2022,-0.10917804009846799,GE
2023,0.9570645117531924,GE
2024,0.6484537144124591,GE
2025,0.001994257499489338,GE
2000,-0.12460023193897718,COST
2001,0.11116418445141862,COST
2002,-0.367733290345981,COST
2003,0.32502058268929424,COST
2004,0.3114990679681706,COST
2005,0.03192016138892284,COST
2006,0.07903069581727662,COST
2007,0.3321364649559133,COST
2008,-0.23980580123476125,COST
2009,0.14336250081321977,COST
2010,0.236652749821594,COST
2011,0.16732264972421862,COST
2012,0.2844013493494677,COST
2013,0.21829822493075923,COST
2014,0.2045960483849807,COST
2015,0.18990963737323674,COST
2016,0.002760549766781084,COST
2017,0.22373013786657348,COST
2018,0.10591977085912907,COST
2019,0.45699142299690076,COST
2020,0.32617210862713275,COST
2021,0.5181229475236244,COST
2022,-0.19055252692975333,COST
2023,0.4896839651969036,COST
2024,0.3961824731869745,COST
2025,0.001340722329314703,COST
2000,0.4245247526943592,JCI
2001,0.06234270622961002,JCI
2002,-0.7091236125937733,JCI
2003,0.5556784475390879,JCI
2004,0.3540912616339196,JCI
2005,-0.1816663086799838,JCI
2006,0.06833095161713665,JCI
2007,2.515232583533523,JCI
2008,-0.44302244311563255,JCI
2009,0.6897465212905383,JCI
2010,0.19440227077694905,JCI
2011,0.15170774842489232,JCI
2012,0.28165339027784464,JCI
2013,0.4464798026836152,JCI
2014,0.10980214517981657,JCI
2015,-0.23673691913434658,JCI
2016,0.28729946524064176,JCI
2017,-0.05136269898965928,JCI
2018,-0.19846420919284968,JCI
2019,0.40917055276970227,JCI
2020,0.1762856992525761,JCI
2021,0.774680117241298,JCI
2022,-0.19288505774572773,JCI
2023,-0.07600658096942747,JCI
2024,0.3978871423057151,JCI
2025,-0.08762374977731402,JCI
2006,1.968367542070372,ICE
2007,0.784061931272179,ICE
2008,-0.5717398042242545,ICE
2009,0.3622004089404789,ICE
2010,0.061000582873825815,ICE
2011,0.011745659793964913,ICE
2012,0.027043520462834314,ICE
2013,0.8220804072294456,ICE
2014,-0.012417639415990944,ICE
2015,0.1829671615402617,ICE
2016,0.114980625564584,ICE
2017,0.26604244078889017,ICE
2018,0.08119491107142451,ICE
2019,0.2446353352870443,ICE
2020,0.26189514752725085,ICE
2021,0.19938806123422026,ICE
2022,-0.23901395239322043,ICE
2023,0.27085637593061973,ICE
2024,0.17462649992885715,ICE
2025,0.05479709254475029,ICE
2000,-0.09729207461057221,SPY
2001,-0.11752505063584373,SPY
2002,-0.2158769517394189,SPY
2003,0.28176502499587985,SPY
2004,0.10702724132527397,SPY
2005,0.04825826465279026,SPY
2006,0.1584822124168559,SPY
2007,0.05135638931147901,SPY
2008,-0.36806948683713026,SPY
2009,0.26366135173191485,SPY
2010,0.15057630988419213,SPY
2011,0.018879347509947575,SPY
2012,0.1599167107845767,SPY
2013,0.32306682654630303,SPY
2014,0.1346213718262963,SPY
2015,0.012522781509698211,SPY
2016,0.12001302186502039,SPY
2017,0.21700344130934823,SPY
2018,-0.04557076556156603,SPY
2019,0.312217212543185,SPY
2020,0.18373211438319226,SPY
2021,0.2874423861659745,SPY
2022,-0.18171694485131273,SPY
2023,0.2618954572534882,SPY
2024,0.2488515960533333,SPY
2025,-0.13527322973429268,SPY
